None,count,count,count,count,count,count
916,104.0,,,,,178.0
933,4060.0,98.0,42.0,,26.0,6852.0
943,4044.0,49.0,33.0,2.0,19.0,6409.0
944,4.0,,,,,4.0
948,24.0,,,,,35.0
949,3.0,,,,,3.0
953,14.0,,,,,21.0
955,30.0,5.0,,,1.0,53.0
956,2.0,,,,,5.0
987,3.0,,,,,4.0
990,10.0,,,,,41.0
991,39.0,1.0,1.0,,,79.0
1002,4.0,,,,,3.0
1009,2.0,,,,,3.0
1013,10.0,,,,,19.0
1016,6.0,,,,,8.0
1020,350.0,3.0,1.0,1.0,4.0,667.0
1031,10.0,1.0,,,,19.0
1041,392.0,,,,1.0,687.0
1048,,,,,,63.0
1049,252.0,3.0,4.0,,1.0,407.0
1051,2799.0,72.0,35.0,,14.0,5585.0
1058,3934.0,166.0,89.0,7.0,19.0,6538.0
1069,49.0,7.0,3.0,,,147.0
1070,97.0,1.0,1.0,,,234.0
1077,151.0,,,,1.0,455.0
1090,3.0,,,,,4.0
1097,9.0,,,,,24.0
1100,4.0,,,,,
1101,1197.0,18.0,9.0,,4.0,2042.0
1108,9.0,,,,,9.0
1110,39.0,,,,,71.0
1117,106.0,5.0,2.0,,,170.0
1126,76.0,1.0,,,,159.0
1135,11.0,1.0,1.0,,,17.0
1136,1.0,,,,,1.0
1142,36.0,,,,,64.0
1152,8.0,,,,,10.0
1155,8.0,,,,,10.0
1169,2.0,,,,,8.0
1170,1.0,,,,,2.0
1175,4.0,,,,,6.0
1178,124.0,3.0,2.0,,,190.0
1189,357.0,10.0,1.0,2.0,3.0,676.0
1196,160.0,2.0,2.0,,,278.0
1203,16673.0,464.0,225.0,34.0,86.0,27378.0
1204,1.0,,,,,
1212,10.0,,,,,15.0
1224,540.0,20.0,7.0,,5.0,883.0
1225,1.0,,,,,
1233,323.0,9.0,4.0,,5.0,449.0
1234,279.0,7.0,1.0,,,327.0
1239,233.0,2.0,,,,460.0
1241,20.0,,,,,39.0
1248,471.0,10.0,7.0,,1.0,795.0
1250,50.0,3.0,2.0,,,71.0
1268,1.0,1.0,,,,
1271,3427.0,66.0,35.0,8.0,13.0,4890.0
1277,209.0,,,,3.0,318.0
1282,5.0,,,,,2.0
1283,32.0,5.0,1.0,,,55.0
1286,3613.0,96.0,40.0,9.0,19.0,5442.0
1287,725.0,7.0,4.0,,3.0,1203.0
1289,32.0,1.0,1.0,,,54.0
1291,1.0,,,,,2.0
1296,112.0,3.0,2.0,,,170.0
1298,64.0,,,,,84.0
1299,1.0,,,,,
1303,2267.0,30.0,18.0,2.0,8.0,3099.0
1311,2.0,,,,,7.0
1312,1.0,,,,,1.0
1315,4.0,,,,,4.0
1317,160.0,3.0,1.0,,2.0,255.0
1324,2.0,,,,,3.0
1338,1.0,,,,,1.0
1341,1.0,,,,,
1347,57.0,5.0,,,,65.0
1354,2.0,,,,,1.0
1360,250.0,1.0,1.0,,,410.0
1365,1.0,,,,,6.0
1366,68.0,,,,,106.0
1385,43.0,1.0,1.0,,,73.0
1393,4.0,,,,,8.0
1394,151.0,8.0,4.0,1.0,2.0,275.0
1396,65.0,3.0,,,,72.0
1398,16.0,,,,,27.0
1423,162.0,2.0,2.0,,,238.0
1426,447.0,2.0,2.0,,,655.0
1427,1469.0,34.0,19.0,1.0,9.0,2221.0
1443,73.0,2.0,2.0,,2.0,124.0
1447,119.0,1.0,,,1.0,212.0
1456,860.0,5.0,2.0,,3.0,1490.0
1468,10225.0,317.0,158.0,59.0,37.0,15847.0
1469,154.0,3.0,3.0,,1.0,238.0
1470,19.0,1.0,,,,17.0
1473,39.0,,1.0,,,65.0
1480,6047.0,125.0,90.0,2.0,40.0,10338.0
1485,552.0,9.0,1.0,,1.0,929.0
1491,2.0,1.0,1.0,,,5.0
1496,66.0,3.0,1.0,,,102.0
1497,95.0,5.0,2.0,,2.0,155.0
1501,65.0,5.0,2.0,,,135.0
1502,8.0,,,,,6.0
1505,2.0,,,,,4.0
1507,39.0,2.0,1.0,1.0,,113.0
1528,439.0,11.0,6.0,,1.0,612.0
1534,11.0,,,,,14.0
1539,984.0,29.0,20.0,5.0,5.0,1451.0
1540,74.0,,,,1.0,135.0
1541,76.0,,,,,107.0
1550,36.0,,,,,80.0
1556,10.0,,,,,9.0
1557,4.0,,,,,2.0
1558,526.0,1.0,1.0,,1.0,1176.0
1561,829.0,7.0,2.0,,3.0,2430.0
1581,4.0,,,,,2.0
1590,35.0,,,,,43.0
1591,26.0,,,,,46.0
1607,164.0,4.0,1.0,,2.0,279.0
1617,145.0,,,12.0,,206.0
1628,9957.0,79.0,29.0,2.0,28.0,15595.0
1630,82.0,2.0,3.0,,,140.0
1633,790.0,12.0,4.0,1.0,5.0,1419.0
1641,1.0,,,,,
1660,4.0,,,,,6.0
1665,548.0,16.0,9.0,1.0,3.0,612.0
1670,2.0,,,,,2.0
1671,32.0,1.0,1.0,,,52.0
1672,2.0,,,,,4.0
1676,1464.0,32.0,22.0,,11.0,2057.0
1678,294.0,12.0,6.0,,,423.0
1681,1775.0,23.0,12.0,1.0,2.0,2829.0
1692,215.0,2.0,1.0,,1.0,317.0
1697,2.0,,,,,1.0
1703,2.0,,,,,
1707,169.0,,,,2.0,325.0
1710,159.0,,,,,778.0
1745,2265.0,86.0,41.0,,15.0,4360.0
1748,51.0,,,,,116.0
1763,1.0,,,,,1.0
1770,146.0,1.0,1.0,,1.0,234.0
1781,12.0,,,,,30.0
1795,1.0,,,,,2.0
1802,412.0,,,,8.0,744.0
1811,222.0,13.0,5.0,1.0,3.0,355.0
1819,32.0,2.0,1.0,,,44.0
1823,30.0,1.0,1.0,,,43.0
1827,14.0,,,,,13.0
1830,920.0,20.0,17.0,2.0,8.0,1255.0
1852,24.0,,,,,33.0
1856,1.0,,,,,1.0
1864,3.0,,,,,2.0
1867,168.0,,1.0,,1.0,243.0
1880,3.0,,,,,8.0
1884,55.0,2.0,,,,91.0
1885,2.0,,,,,2.0
1886,1037.0,14.0,9.0,,5.0,1550.0
1890,336.0,1.0,,,,500.0
1905,65.0,,,,2.0,93.0
1911,90.0,1.0,1.0,,,135.0
1914,12329.0,311.0,240.0,12.0,98.0,18948.0
1916,2.0,,,,,
1920,15.0,2.0,1.0,,,51.0
1923,2.0,,,,,3.0
1927,1234.0,15.0,6.0,1.0,2.0,1846.0
1940,5.0,,,,,5.0
1947,779.0,21.0,8.0,4.0,6.0,1287.0
1950,48.0,6.0,,,1.0,53.0
1951,120.0,1.0,1.0,,,194.0
1962,465.0,4.0,2.0,,2.0,635.0
1969,14.0,,,,,26.0
1971,2.0,,,,,5.0
1972,2.0,,,,,4.0
1980,53.0,6.0,2.0,1.0,3.0,90.0
1984,1.0,,,,,1.0
1986,2.0,,,,,2.0
1987,1.0,,,,,
1989,19.0,,,,,17.0
1992,52.0,1.0,,,,185.0
1994,612.0,11.0,6.0,,2.0,1016.0
1995,185.0,3.0,1.0,,,274.0
2005,43.0,,1.0,,,66.0
2010,781.0,,,,1.0,1293.0
2015,8.0,,,,,10.0
2020,336.0,8.0,2.0,,1.0,509.0
2023,50.0,,,,,79.0
2028,86.0,,,,,120.0
2047,29.0,1.0,1.0,,,53.0
2049,4.0,,,,,7.0
2054,9.0,,,,,6.0
2068,4.0,,,,,6.0
2069,294.0,4.0,1.0,,,542.0
2071,3.0,,,,,2.0
2072,26701.0,794.0,440.0,24.0,138.0,38392.0
2076,8.0,,,,,14.0
2080,151.0,5.0,3.0,,1.0,241.0
2086,720.0,11.0,4.0,2.0,4.0,1126.0
2089,1.0,,,,,1.0
2090,2210.0,56.0,38.0,3.0,18.0,3820.0
2100,66139.0,1698.0,874.0,100.0,279.0,107126.0
2101,1009.0,26.0,8.0,,8.0,2098.0
2104,232.0,2.0,1.0,,,356.0
2115,231.0,8.0,6.0,,5.0,428.0
2121,18.0,,,,,20.0
2125,8.0,,,,,14.0
2126,3.0,,,,,7.0
2128,18.0,2.0,,,,31.0
2133,299.0,5.0,4.0,,,469.0
2143,2403.0,91.0,37.0,5.0,19.0,3849.0
2145,6.0,,,,,8.0
2148,21684.0,770.0,324.0,133.0,113.0,33428.0
2153,29.0,,,,,39.0
2156,532.0,23.0,10.0,2.0,5.0,682.0
2160,2.0,,,,,4.0
2167,55.0,,,,,74.0
2171,500.0,4.0,3.0,1.0,4.0,827.0
2182,1.0,,,,,
2190,2.0,,,,,2.0
2192,7.0,2.0,1.0,,,8.0
2206,33.0,1.0,1.0,,,55.0
2210,4.0,,,,,5.0
2222,380.0,7.0,4.0,,1.0,647.0
2225,1.0,,,,,
2240,12.0,,,,,33.0
2243,22.0,,,,,29.0
2247,4.0,,,,,8.0
2259,12.0,,,,,11.0
2261,17.0,,,,,17.0
2262,38.0,1.0,,,,77.0
2276,6.0,,,,,12.0
2278,8.0,,,,,10.0
2284,50.0,1.0,2.0,,,69.0
2300,95.0,1.0,1.0,,2.0,185.0
2326,14.0,,,,,18.0
2329,151.0,3.0,2.0,,,264.0
2331,138.0,4.0,1.0,,1.0,221.0
2334,26.0,,,,,38.0
2340,3199.0,76.0,30.0,1.0,14.0,5420.0
2341,10.0,,,,,13.0
2351,3.0,,,,,2.0
2358,2223.0,40.0,14.0,,15.0,3045.0
2361,2.0,,,,,1.0
2372,118.0,1.0,1.0,,,154.0
2378,16573.0,601.0,299.0,69.0,91.0,29862.0
2382,262.0,4.0,2.0,,1.0,328.0
2392,5.0,,,,,10.0
2412,14.0,1.0,1.0,,,18.0
2427,31.0,,,,,37.0
2432,222.0,5.0,4.0,1.0,,373.0
2433,18.0,,,,,35.0
2436,6.0,,,,,13.0
2445,6.0,,,,,
2448,1972.0,75.0,56.0,17.0,8.0,3081.0
2464,90.0,,,,,168.0
2467,111.0,,,,,169.0
2469,918.0,16.0,8.0,,8.0,1431.0
2472,11.0,,,,,22.0
2474,485.0,6.0,6.0,,8.0,746.0
2475,4.0,,,,,6.0
2476,5.0,,,,,43.0
2480,12261.0,193.0,102.0,4.0,35.0,21422.0
2484,7.0,,,,,20.0
2499,1.0,,,,,1.0
2502,175.0,1.0,2.0,,,240.0
2515,19.0,,,,,40.0
2519,1.0,,,,,
2520,13.0,,,,,9.0
2528,103.0,,,,,187.0
2534,35.0,,,,,82.0
2538,1788.0,85.0,36.0,8.0,9.0,3302.0
2540,11.0,1.0,,,,25.0
2547,1.0,,,,,1.0
2550,16.0,,,,,29.0
2563,1.0,,,,,9.0
2564,2.0,,,,,3.0
2575,95.0,2.0,2.0,,,137.0
2582,256.0,15.0,3.0,,,360.0
2589,245.0,,,,3.0,366.0
2612,26.0,1.0,,,,24.0
2629,9.0,,,,,8.0
2636,1.0,,,,,1.0
2638,44.0,,,1.0,,53.0
2639,1.0,,,,,1.0
2640,5.0,,,,,3.0
2641,5.0,,,,,5.0
2645,65.0,4.0,,,,75.0
2647,30.0,1.0,2.0,,,40.0
2656,8.0,,,,,15.0
2662,108.0,,,,,184.0
2671,34.0,,,,,35.0
2677,7476.0,168.0,86.0,2.0,45.0,13173.0
2683,18.0,,,,,34.0
2687,348.0,4.0,3.0,,2.0,628.0
2690,52.0,1.0,1.0,,,89.0
2693,1.0,,,,,
2703,8.0,,,,,13.0
2705,1.0,,,,,1.0
2709,400.0,7.0,1.0,,1.0,604.0
2716,7.0,,,,,20.0
2717,8.0,,,,,13.0
2720,46.0,,,,,123.0
2736,8.0,,,,,19.0
2739,23.0,,,,,42.0
2748,7.0,,,,,12.0
2753,2.0,,,,,2.0
2754,56.0,,,,1.0,98.0
2755,2.0,,,,,4.0
2766,3.0,,,,,2.0
2775,4.0,,,,,6.0
2803,,1.0,,,,
2808,1.0,,,,,1.0
2815,4.0,,,,,2.0
2822,434.0,12.0,7.0,1.0,1.0,701.0
2826,2.0,,,,,3.0
2827,376.0,1.0,1.0,,,609.0
2829,324.0,6.0,5.0,,1.0,502.0
2832,52.0,,,,,111.0
2836,53.0,1.0,1.0,,,98.0
2838,24.0,,,,,41.0
2853,148.0,1.0,1.0,,1.0,211.0
2862,19.0,,,,,30.0
2866,11754.0,,,,88.0,18308.0
2873,411.0,12.0,,,,438.0
2874,6.0,,,,,23.0
2890,2.0,,,,,1.0
2893,22.0,,,,,60.0
2899,7.0,,,,,8.0
2902,3.0,,,,,9.0
2905,1180.0,30.0,24.0,2.0,4.0,1705.0
2906,26.0,,,,1.0,67.0
2909,976.0,8.0,6.0,,4.0,1769.0
2910,2.0,1.0,,,,2.0
2919,1.0,,,,,3.0
2922,4.0,,,,,4.0
2934,3.0,,,,,4.0
2937,5.0,,,,,8.0
2938,2.0,,,,,2.0
2947,20.0,1.0,1.0,,,299.0
2957,4.0,,,,,2.0
2962,397.0,10.0,11.0,,2.0,834.0
2964,11.0,,,,,9.0
2967,100.0,4.0,3.0,1.0,1.0,144.0
2977,1186.0,27.0,16.0,2.0,4.0,1801.0
2980,20.0,1.0,1.0,,,38.0
2981,2.0,,,,,3.0
2986,70.0,,,,,112.0
3000,3.0,,,,,4.0
3003,1.0,,,,,1.0
3006,2.0,,,,,2.0
3012,4.0,,,,,5.0
3023,497.0,6.0,4.0,,3.0,733.0
3045,2.0,,,,,4.0
3050,2.0,,,,,8.0
3054,37.0,,,,,55.0
3064,,,,,,4.0
3066,3.0,,,,,8.0
3067,19264.0,669.0,334.0,30.0,154.0,30072.0
3069,4.0,,,,,42.0
3082,277.0,5.0,4.0,,4.0,457.0
3083,4.0,,,,,11.0
3089,4.0,,,,,6.0
3094,267.0,2.0,2.0,,2.0,436.0
3096,806.0,23.0,12.0,,5.0,1297.0
3099,219.0,1.0,1.0,,1.0,355.0
3112,19.0,2.0,1.0,,,31.0
3117,18.0,1.0,1.0,,,53.0
3129,40.0,2.0,,,,37.0
3138,3421.0,78.0,45.0,,23.0,4810.0
3153,2.0,,,,,3.0
3159,1078.0,23.0,17.0,,3.0,1837.0
3164,273.0,12.0,4.0,1.0,1.0,424.0
3165,2.0,,,,,4.0
3167,21.0,3.0,1.0,,,46.0
3179,84.0,1.0,,1.0,2.0,128.0
3180,3.0,,,,,3.0
3181,2.0,,,,,4.0
3194,7.0,,,,,10.0
3205,369.0,2.0,,,3.0,631.0
3208,258.0,1.0,,,,454.0
3211,63.0,2.0,1.0,,,127.0
3217,45.0,,,,,75.0
3218,24.0,,,,,34.0
3245,2.0,,,,,2.0
3248,172.0,3.0,3.0,,,258.0
3250,27.0,,,,,53.0
3252,1332.0,7.0,4.0,,3.0,1937.0
3274,311.0,12.0,2.0,1.0,2.0,538.0
3282,7.0,,,,,9.0
3295,4.0,,,,,8.0
3298,4.0,,,,,6.0
3301,1631.0,33.0,9.0,1.0,17.0,2363.0
3303,412.0,6.0,4.0,,1.0,736.0
3311,62.0,1.0,2.0,,1.0,100.0
3316,294.0,2.0,1.0,,,408.0
3318,3425.0,109.0,42.0,,18.0,5964.0
3321,2038.0,40.0,19.0,3.0,4.0,3143.0
3334,12.0,,,,1.0,25.0
3336,47.0,1.0,1.0,,,55.0
3340,1.0,,,,,1.0
3343,18.0,4.0,,,,39.0
3354,24.0,,,,,39.0
3363,720.0,12.0,5.0,,9.0,1064.0
3380,2.0,,,,,3.0
3389,3.0,,,,,1.0
3392,20.0,,,,,41.0
3393,10.0,,,,,15.0
3399,19.0,,,,,17.0
3402,1.0,,,,,
3410,32.0,,,,,49.0
3412,90.0,,,,,126.0
3416,50.0,2.0,,,,59.0
3418,82.0,,,,,123.0
3424,4.0,,,,,8.0
3437,5.0,,,,,10.0
3439,340.0,6.0,3.0,1.0,3.0,637.0
3448,1332.0,22.0,10.0,1.0,5.0,2287.0
3449,102.0,3.0,,,,151.0
3462,16.0,,,,,37.0
3468,1492.0,36.0,24.0,,10.0,2127.0
3471,185.0,8.0,3.0,1.0,,323.0
3475,1348.0,39.0,21.0,3.0,5.0,2172.0
3487,1741.0,35.0,15.0,,7.0,2342.0
3489,404.0,13.0,5.0,,4.0,505.0
3499,433.0,16.0,4.0,2.0,2.0,882.0
3506,2.0,,,,,8.0
3510,25.0,,,,,39.0
3512,63.0,1.0,,,,91.0
3517,498.0,16.0,13.0,1.0,1.0,752.0
3518,2.0,,,,,2.0
3528,71.0,4.0,3.0,,,116.0
3530,2.0,,,,,5.0
3532,85.0,,,,,116.0
3537,19.0,,,,,28.0
3546,14.0,,,,,17.0
3553,928.0,29.0,14.0,5.0,2.0,1519.0
3566,2.0,,,,,1.0
3567,34.0,,,1.0,,61.0
3577,56.0,2.0,2.0,,,152.0
3578,1.0,,,,,2.0
3580,10.0,,,,,8.0
3581,23.0,,,,,43.0
3582,12.0,,,,,23.0
3591,6.0,,,,,8.0
3594,1.0,,,,,1.0
3601,949.0,22.0,13.0,,6.0,1408.0
3602,1.0,,,,,
3607,59.0,2.0,2.0,,1.0,104.0
3622,209.0,6.0,,,,240.0
3630,64.0,4.0,1.0,,1.0,114.0
3636,237.0,1.0,3.0,,,398.0
3637,34.0,1.0,2.0,,,58.0
3641,,,,,,3.0
3647,1139.0,20.0,12.0,,5.0,1795.0
3649,35.0,,,,,34.0
3660,77.0,,,,,271.0
3661,96.0,,,,,102.0
3668,40.0,,,,,160.0
3673,4465.0,163.0,100.0,11.0,26.0,7012.0
3675,8.0,,,,,9.0
3679,24.0,,,,,25.0
3689,2.0,,,,,6.0
3692,29.0,1.0,,,,47.0
3701,148.0,3.0,1.0,,,304.0
3702,2.0,,,,,
3704,1952.0,14.0,7.0,2.0,6.0,2813.0
3706,5838.0,192.0,103.0,22.0,46.0,9835.0
3708,57.0,1.0,,,,112.0
3721,6.0,,,,,6.0
3724,56.0,3.0,1.0,1.0,,95.0
3733,2.0,,,,,2.0
3735,1.0,,,,,2.0
3737,2.0,,,,,8.0
3743,1.0,,,,,
3745,17.0,,,,,18.0
3749,4.0,,,,,1.0
3751,139.0,,1.0,,,198.0
3752,12539.0,361.0,195.0,12.0,81.0,18166.0
3770,11.0,,,,,22.0
3776,7889.0,276.0,115.0,15.0,43.0,13997.0
3779,232.0,6.0,3.0,,1.0,358.0
3787,336.0,4.0,5.0,,1.0,548.0
3794,,,,,,5.0
3809,120.0,3.0,,,,203.0
3813,120.0,,,,2.0,219.0
3820,217.0,,,,1.0,337.0
3821,143.0,,,,,183.0
3829,6.0,,,,,6.0
3833,52.0,2.0,2.0,,,60.0
3850,1511.0,28.0,15.0,1.0,5.0,2084.0
3861,13.0,,,,,34.0
3864,59.0,1.0,2.0,,,75.0
3865,28.0,1.0,,,1.0,45.0
3869,1967.0,33.0,19.0,2.0,10.0,3690.0
3879,2.0,,,,,2.0
3882,1955.0,24.0,9.0,,12.0,3190.0
3887,13813.0,325.0,157.0,22.0,48.0,19476.0
3891,2341.0,67.0,22.0,4.0,16.0,3776.0
3905,47.0,,,,,72.0
3906,54.0,,,,,78.0
3913,7.0,,,,,4.0
3916,54.0,,,,,52.0
3919,1369.0,42.0,32.0,1.0,9.0,2318.0
3920,21.0,,,,,33.0
3924,9.0,,,,,7.0
3930,4112.0,190.0,83.0,39.0,19.0,6748.0
3936,244.0,5.0,3.0,,1.0,427.0
3956,6.0,,,,,2.0
3960,3.0,,,,,13.0
3977,30.0,,,,,57.0
3979,474.0,10.0,4.0,,4.0,822.0
3986,2.0,,,,,13.0
3990,191.0,,,,1.0,320.0
3995,640.0,31.0,12.0,1.0,1.0,1096.0
3998,45.0,2.0,1.0,,,68.0
4003,30.0,,,,,53.0
4007,5.0,,,,,10.0
4008,1009.0,23.0,16.0,1.0,2.0,1909.0
4010,1.0,,,,,1.0
4021,4098.0,122.0,82.0,10.0,20.0,7105.0
4023,4.0,,,,,7.0
4046,166.0,1.0,2.0,,1.0,268.0
4056,28.0,,,,,40.0
4061,4.0,,,,,7.0
4070,2.0,,,,,3.0
4079,600.0,20.0,15.0,1.0,3.0,1314.0
4109,20.0,,,,1.0,28.0
4117,142.0,,,,,227.0
4126,310.0,3.0,5.0,,3.0,448.0
4134,27.0,,,,,38.0
4137,285.0,9.0,,3.0,,363.0
4140,2.0,,,,,3.0
4145,152.0,3.0,1.0,,2.0,255.0
4150,3.0,,,,,2.0
4151,2.0,,,,,3.0
4156,3.0,,,,,3.0
4174,2221.0,63.0,29.0,5.0,19.0,3307.0
4175,183.0,5.0,,,1.0,344.0
4179,884.0,28.0,17.0,6.0,9.0,1444.0
4182,7.0,1.0,1.0,,,11.0
4185,14.0,,,,,30.0
4214,4.0,,,,,1.0
4217,16.0,2.0,1.0,,1.0,24.0
4220,19.0,,,,,39.0
4230,1.0,,,,,2.0
4235,7.0,,,,,14.0
4250,582.0,,,,2.0,926.0
4253,1494.0,22.0,16.0,2.0,14.0,2281.0
4256,83.0,,,,2.0,147.0
4260,956.0,15.0,12.0,,5.0,1463.0
4261,4.0,,,,,2.0
4262,1.0,,,,,1.0
4263,413.0,1.0,6.0,,1.0,867.0
4270,4.0,,,,,5.0
4282,401.0,14.0,9.0,,1.0,558.0
4284,30.0,,,,1.0,52.0
4285,6102.0,125.0,74.0,2.0,28.0,10065.0
4311,1.0,,,,,
4315,753.0,18.0,3.0,2.0,3.0,1083.0
4317,118.0,,1.0,,2.0,148.0
4325,6.0,,,,,6.0
4330,60.0,,,,,91.0
4332,33.0,1.0,1.0,,1.0,66.0
4333,1225.0,26.0,11.0,,9.0,2354.0
4336,493.0,2.0,2.0,,2.0,771.0
4345,19.0,,1.0,,,39.0
4348,18.0,1.0,1.0,,,34.0
4359,234.0,3.0,1.0,,,330.0
4364,48.0,,,,,30.0
4365,109.0,3.0,1.0,,,179.0
4366,6116.0,134.0,45.0,2.0,37.0,9580.0
